Anno,Italia
1974,72.6
1975,72.7
1976,72.8
1977,73.4
1978,73.8
1979,74.1
1980,74.0
1981,74.3
1982,74.7
1983,74.8
1984,75.0
1985,75.6
1986,75.9
1987,76.3
1988,76.5
1989,77.0
1990,77.1
1991,77.1
1992,77.5
1993,77.8
1994,78.0
1995,78.3
1996,78.7
1997,79.0
1998,79.1
1999,79.6
2000,79.9
2001,80.3
2002,80.4
2003,80.1
2004,80.9
2005,80.9
2006,81.4
2007,81.6
2008,81.7
2009,81.8
2010,82.2
2011,82.4
2012,82.4
2013,82.9
2014,83.2
2015,82.7
2016,83.4
2017,83.1
2018,83.4
2019,83.6
2020,82.3
2021,82.7
2022,82.8
2023,83.5
