STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;REF_AREA;Reference area;FREQ;Frequency of observation;MEASURE;Measure.1;UNIT_MEASURE;Unit of measure;AGE;Age.1;SEX;Sex.1;SOCIO_ECON_STATUS;Socio-economic status;DEATH_CAUSE;Cause of death;CALC_METHODOLOGY;Calculation methodology;GESTATION_THRESHOLD;Gestation period threshold;HEALTH_STATUS;Health status;DISEASE;Disease.1;CANCER_SITE;Cancer site;TIME_PERIOD;Time period;OBS_VALUE;Observation value;DECIMALS;Decimals.1;OBS_STATUS;Observation status;OBS_STATUS2;Observation status 2;OBS_STATUS3;Observation status 3;UNIT_MULT;Unit multiplier
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2000;;237;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2001;;227;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2002;;218;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2003;;207;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2004;;199;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2006;;187;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2007;;182;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2008;;181;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2009;;177;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;AUS;Australia;A;Annual;AVM;Avoidable mortality;DT_10P5HB;Deaths per 100 000 inhabitants;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;STANDARD;Standardised rate;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2011;;168;;;;;;;;;;;
